item	support
{'64', '5'}	100
{'1217', '5'}	100
{'759', '5'}	100
{'969', '5'}	102
{'5', '381'}	102
{'5', '558'}	102
{'5', '74'}	102
{'5', '54'}	102
{'5', '405'}	104
{'729', '5'}	104
{'132', '5'}	104
{'5', '219'}	104
{'5', '521'}	106
{'404', '5'}	106
{'629', '5'}	104
{'629'}	106
{'5', '1116'}	106
{'5', '485'}	106
{'5', '396'}	108
{'637', '5'}	108
{'465', '5'}	108
{'5', '502'}	108
{'925', '5'}	108
{'508', '5'}	108
{'881', '5'}	108
{'5', '386'}	110
{'1004', '5'}	111
{'1100', '5'}	112
{'362', '5'}	112
{'725', '5'}	114
{'5', '765'}	114
{'495', '5'}	114
{'5', '554'}	114
{'1064', '5'}	116
{'507', '5'}	116
{'5', '212'}	116
{'5', '245'}	116
{'506', '5'}	116
{'646', '5'}	116
{'5', '11'}	116
{'1074', '5'}	116
{'5', '562'}	116
{'5', '18'}	116
{'18'}	118
{'5', '567'}	118
{'863', '5'}	118
{'5', '908'}	118
{'5', '930'}	118
{'5', '727'}	118
{'5', '283'}	118
{'5', '458'}	120
{'5', '31'}	120
{'5', '87'}	120
{'528', '5'}	120
{'5', '1385'}	120
{'5', '484'}	123
{'5', '760'}	124
{'5', '817'}	124
{'5', '679'}	124
{'5', '1348'}	124
{'5', '575'}	124
{'84', '5'}	124
{'376', '5'}	124
{'376'}	126
{'168', '5'}	126
{'529', '5'}	126
{'876', '5'}	124
{'876'}	126
{'5', '828'}	126
{'5', '182'}	126
{'5', '238'}	126
{'566', '5'}	128
{'5', '1071'}	128
{'5', '327'}	128
{'5', '273'}	128
{'5', '24'}	130
{'204', '5'}	130
{'275', '5'}	132
{'5', '568'}	132
{'5', '888'}	132
{'379', '5'}	132
{'5', '793'}	136
{'460', '5'}	136
{'5', '1067'}	136
{'474', '5'}	136
{'5', '599'}	136
{'5', '559'}	138
{'378', '5'}	138
{'5', '125'}	138
{'5', '235'}	138
{'5', '58'}	142
{'5', '613'}	142
{'5', '564'}	146
{'4', '5'}	146
{'5', '189'}	148
{'523', '5'}	148
{'310', '5'}	148
{'5', '1030'}	148
{'5', '775'}	148
{'5', '827'}	148
{'5', '596'}	150
{'5', '706'}	150
{'5', '164'}	150
{'5', '100'}	152
{'5', '441'}	152
{'5', '337'}	152
{'223', '5'}	154
{'263', '5'}	156
{'48', '5'}	156
{'5', '642'}	160
{'5', '67'}	160
{'205', '5'}	160
{'5', '449'}	160
{'5', '322'}	162
{'5', '159'}	162
{'56', '5'}	166
{'88', '5'}	166
{'5', '468'}	170
{'5', '193'}	170
{'5', '519'}	172
{'5', '1124'}	174
{'5', '16'}	176
{'565', '5'}	178
{'780', '5'}	178
{'780'}	180
{'5', '114'}	186
{'561', '5'}	190
{'5', '446'}	190
{'5', '697'}	190
{'203', '5'}	190
{'220', '312', '5'}	118
{'312', '5'}	192
{'962', '5'}	192
{'5', '667'}	198
{'5', '107'}	198
{'5', '320'}	198
{'5', '194'}	202
{'5', '123'}	202
{'718', '5'}	208
{'156', '5'}	206
{'156'}	208
{'5', '104'}	210
{'5', '191'}	214
{'5', '289'}	216
{'50', '5'}	222
{'5', '248'}	223
{'717', '5'}	224
{'5', '82'}	228
{'5', '254'}	230
{'112', '5'}	232
{'5', '122'}	234
{'444', '5'}	236
{'5', '55'}	239
{'55'}	241
{'32', '5'}	244
{'576', '5'}	242
{'576'}	244
{'602', '5'}	246
{'602'}	248
{'5', '472'}	252
{'5', '498'}	258
{'5', '51'}	262
{'141', '5'}	268
{'187', '5'}	270
{'10', '5'}	272
{'313', '5'}	272
{'313'}	274
{'5', '833'}	274
{'5', '146'}	276
{'5', '13'}	280
{'5', '180'}	280
{'5', '79'}	282
{'220', '5'}	284
{'5', '43'}	286
{'5', '92'}	286
{'5', '411'}	288
{'5', '841'}	290
{'5', '53'}	290
{'5', '287'}	290
{'335', '5'}	302
{'5', '340'}	303
{'5', '231'}	304
{'329', '5'}	312
{'5', '41'}	316
{'5', '252'}	316
{'626', '5'}	322
{'5', '200'}	327
{'229', '5'}	330
{'5', '197'}	335
{'5', '103'}	354
{'5', '172'}	356
{'5', '425'}	360
{'5', '57'}	362
{'44', '5'}	372
{'5', '207'}	387
{'207'}	389
{'5', '1', '30'}	118
{'5', '30'}	418
{'34', '5'}	442
{'5', '91'}	448
{'5', '102'}	460
{'5', '27'}	476
{'5', '259', '1'}	126
{'5', '259'}	500
{'5', '178'}	545
{'5', '113', '1'}	108
{'113', '5'}	552
{'5', '266'}	553
{'5', '1', '60'}	104
{'5', '60'}	584
{'5', '52'}	768
{'5', '1', '59'}	156
{'5', '59'}	772
{'96', '5', '1'}	172
{'5', '96'}	958
{'96'}	960
{'5', '1'}	1135
{'5'}	9979
