,Tweets
0,"['clinical', 'used', 'machine', 'learning', 'explore', 'de', 'electronic', 'health', 'record', 'data', 'national', 'covid', 'cohort', 'collaborative', 'nc', 'national', 'health', 'funded', 'national', 'clinical']"
1,"['please', 'ensure', 'congress', 'emergency', 'food', 'insecurity', 'war', 'global', 'covid', 'response', 'these', 'crises', 'wait', 'we', 'need', 'action']"
2,"['the', 'city', 'school', 'district', 'notified', 'new', 'confirmed', 'covid', 'affecting', 'learn']"
3,"['mail', 'sniffer', 'dogs', 'better', 'spotting', 'covid', 'actual', 'study', 'new', 'university', 'study', 'show', 'spot', 'per', 'cent', 'per', 'cent', 'accurate']"
4,"['all', 'know', 'high', 'percentage', 'year', 'know', 'saw', 'drink', 'way', 'covid']"
5,"['is', 'anyone', 'else', 'alarmed', 'fact', 'covid', 'increasing', 'daily', 'invite', 'entire', 'public', 'especially', 'come', 'vote', 'super', 'spread', 'happening', 'without']"
6,"['join', 'health', 'may', 'workshop', 'exploring', 'nation', 'public', 'health', 'emergency', 'preparedness', 'enterprise', 'lens', 'covid', 'register']"
7,"['now', 'you', 'can', 'calculate', 'your', 'covid', 'death', 'say', 'news', 'health']"
8,"['got', 'sick', 'no', 'covid', 'thankfully', 'damn', 'stuck', 'bed']"
9,"['another', 'round', 'free', 'covid', 'antigen', 'available']"
10,"['this', 'economic', 'recovery', 'like', 'trump', 'create', 'economic', 'recovery', 'plan', 'cleaning', 'trump', 'mess', 'if', 'concerned', 'make', 'trump', 'respond', 'covid', 'crisis', 'instead', 'incompetent', 'inaction']"
11,"['look', 'every', 'single', 'covid', 'case', 'hospitalization', 'death', 'see', 'huge', 'initial', 'nd', 'delta', 'how', 'explain', 'the', 'early', 'stupid']"
12,"['regardless', 'covid', 'supplement', 'protecting', 'liver', 'alcohol', 'use', 'sleep', 'body', 'ability', 'produce', 'collagen', 'worth', 'looking']"
13,"['hurricane', 'covid', 'relief', 'always', 'sent', 'directly', 'the', 'state', 'never', 'help', 'county', 'democratic', 'leadership']"
14,"['sympathize', 'everyone', 'adverse', 'event', 'life', 'drug', 'available', 'my', 'issue', 'way', 'go', 'happen', 'make', 'covid', 'exaggerating', 'forgetting', 'people', 'like']"
15,"['that', 'awful', 'clinically', 'vulnerable', 'pretty', 'much', 'still', 'shielding', 'keeping', 'son', 'school', 'clinically', 'vulnerable', 'facing', 'possible', 'imprisonment', 'keeping', 'school', 'covid', 'still', 'huge', 'risk', 'especially', 'clinically', 'vulnerable', 'people']"
16,"['went', 'big', 'game', 'summer', 'covid', 'it', 'fun', 'going', 'alone', 'enjoying']"
17,"['use', 'machine', 'learning', 'help', 'identify', 'long', 'covid']"
18,"['direct', 'impact', 'covid', 'last', 'well', 'san', 'japan', 'new', 'power', 'new', 'york', 'san']"
19,"['the', 'wave', 'nd', 'wave', 'pandemic', 'peak', 'killing', 'almost', 'people', 'day', 'the', 'issue', 'deadly', 'it', 'getting', 'amount', 'news', 'coverage', 'people', 'covid']"
20,"['covid', 'dangerous', 'hot', 'war', 'zone', 'big', 'hero']"
21,"['do', 'know', 'people', 'running', 'long', 'covid']"
22,"['new', 'all', 'must', 'follow', 'due', 'covid', 'health', 'news']"
23,"['my', 'felt', 'bad', 'it', 'took', 'time', 'energy', 'back', 'little', 'around', 'house', 'also', 'better', 'make', 'sure', 'get', 'post', 'covid', 'checkup', 'make', 'sure', 'everything', 'love', 'feel', 'better', 'soon']"
24,"['by', 'everyone', 'smash', 'immune', 'covid', 'next', 'major']"
25,"['covid', 'home', 'see']"
26,"['nick', 'resonant', 'asset', 'management', 'us', 'three', 'international', 'right', 'then', 'watching', 'investor', 'week', 'covid', 'china']"
27,"['new', 'how', 'improve', 'need', 'stability', 'investment', 'public', 'really', 'instability', 'prior', 'covid', 'people', 'fought', 'back', 'class', 'sizes', 'mand', 'learning', 'last', 'said', 'lower', 'class', 'sizes', 'mand', 'learning', 'address']"
28,"['new', 'variant', 'incoming', 'why', 'much', 'late', 'like', 'know', 'time', 'covid', 'end']"
29,"['top', 'story', 'covid', 'home', 'see']"
30,"['everyone', 'get', 'another', 'round', 'free', 'covid', 'this', 'time', 'get', 'per', 'household', 'time', 'fill']"
31,"['ah', 'yes', 'murder', 'variant', 'covid']"
32,"['in', 'early', 'dealing', 'lot', 'bush', 'fire', 'smoke', 'wearing', 'type', 'found', 'made', 'improvement', 'wearing', 'covid', 'they', 'good']"
33,"['imagine', 'long', 'covid', 'medical', 'establishment', 'any', 'attention', 'myalgic', 'encephalomyelitis', 'point', 'last', 'something', 'there', 'would', 'probably', 'effective', 'treatment', 'but', 'millions', 'added']"
34,"['data', 'clear', 'covid', 'age', 'goes', 'you', 'say', 'enough', 'save', 'time', 'also', 'people', 'less', 'better']"
35,"['serious', 'question', 'trying', 'reconcile', 'time', 'is', 'relatively', 'low', 'green', 'map', 'county', 'report', 'covid', 'half', 'idea', 'got', 'community', 'transmission']"
