,item,tid,support
0,"{'238', '10'}","[26, 30, 63, 80, 85]",5
1,"{'10', '413'}","[49, 63, 85, 87, 100]",5
2,"{'10', '112'}","[11, 15, 24, 81, 98]",5
3,"{'403', '10'}","[45, 52, 53, 66, 89]",5
4,"{'172', '10'}","[16, 37, 38, 45, 71]",5
5,"{'185', '10'}","[17, 44, 51, 62, 81]",5
6,"{'10', '215'}","[23, 44, 52, 70, 97]",5
7,"{'10', '384'}","[43, 45, 57, 70, 86]",5
8,"{'380', '10'}","[42, 64, 88, 89, 97]",5
9,"{'57', '10'}","[5, 15, 41, 88, 98]",5
10,"{'26', '10'}","[2, 28, 44, 48, 64]",5
11,"{'92', '10'}","[9, 42, 60, 80, 93]",5
12,"{'40', '10'}","[4, 24, 35, 48, 66, 75]",6
13,"{'378', '10'}","[42, 53, 54, 57, 79, 93]",6
14,"{'97', '10'}","[10, 31, 41, 56, 78, 87]",6
15,"{'221', '10'}","[24, 28, 64, 75, 81, 89]",6
16,"{'219', '10'}","[24, 29, 31, 35, 36, 44]",6
17,"{'88', '10'}","[8, 12, 37, 39, 86, 94]",6
18,"{'156', '10'}","[15, 25, 31, 53, 55, 58]",6
19,"{'51', '10'}","[5, 22, 29, 38, 66, 72, 81]",7
20,"{'6', '10'}","[1, 7, 8, 23, 40, 54, 92]",7
21,"{'10', '105'}","[11, 15, 29, 54, 66, 85, 97, 98]",8
22,"{'33', '10'}","[3, 4, 19, 23, 28, 29, 38, 39, 63, 69]",10
23,"{'227', '10'}","[24, 31, 37, 39, 55, 59, 66, 69, 80, 81, 98, 100]",12
24,"{'10', '28'}","[3, 12, 14, 20, 37, 40, 45, 49, 51, 55, 70, 78, 87, 89, 93, 94]",16
25,"{'165', '10'}","[15, 16, 20, 22, 28, 35, 38, 41, 43, 45, 50, 54, 55, 59, 72, 85, 90]",17
26,{'10'},"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100]",100
